data,canal,tema,resumo,resolvido
2025-09-15,chat,CDB,Cliente perguntou sobre rentabilidade e prazos,sim
2025-09-22,telefone,Problema no app,Erro ao visualizar extrato foi corrigido,sim
2025-10-01,chat,Tesouro Selic,Cliente pediu explicação sobre o funcionamento do Tesouro Direto,sim
2025-10-12,chat,Metas financeiras,Cliente acompanhou o progresso da reserva de emergência,sim
2025-10-25,email,Atualização cadastral,Cliente atualizou e-mail e telefone,sim
2025-11-05,chat,CDI,Cliente solicitou explicação sobre CDI e comparação com Selic,sim
2025-11-10,chat,Reserva de emergência,Cliente consultou evolução da reserva financeira,sim
2025-11-18,chat,LCI/LCA,Cliente pediu explicação sobre tributação e liquidez,sim
2025-11-25,chat,Fundo Imobiliário,Cliente solicitou informações sobre risco e objetivo do produto,sim
2025-12-02,chat,Fundo de Ações,Cliente pediu explicação sobre volatilidade e longo prazo,sim

